Image 0 - Predict: 3, True: 3
Image 1 - Predict: 3, True: 8
Image 2 - Predict: 7, True: 8
Image 3 - Predict: 0, True: 0
Image 4 - Predict: 3, True: 6
Image 5 - Predict: 7, True: 6
Image 6 - Predict: 0, True: 1
Image 7 - Predict: 4, True: 6
Image 8 - Predict: 3, True: 3
Image 9 - Predict: 7, True: 1
Image 10 - Predict: 3, True: 0
Image 11 - Predict: 7, True: 9
Image 12 - Predict: 5, True: 5
Image 13 - Predict: 5, True: 7
Image 14 - Predict: 9, True: 9
Image 15 - Predict: 3, True: 8
Image 16 - Predict: 5, True: 5
Image 17 - Predict: 3, True: 7
Image 18 - Predict: 7, True: 8
Image 19 - Predict: 5, True: 6
Image 20 - Predict: 7, True: 7
Image 21 - Predict: 0, True: 0
Image 22 - Predict: 3, True: 4
Image 23 - Predict: 5, True: 9
Image 24 - Predict: 3, True: 5
Image 25 - Predict: 3, True: 2
Image 26 - Predict: 5, True: 4
Image 27 - Predict: 7, True: 0
Image 28 - Predict: 7, True: 9
Image 29 - Predict: 4, True: 6
Image 30 - Predict: 7, True: 6
Image 31 - Predict: 3, True: 5
Image 32 - Predict: 0, True: 4
Image 33 - Predict: 3, True: 5
Image 34 - Predict: 7, True: 9
Image 35 - Predict: 0, True: 2
Image 36 - Predict: 3, True: 4
Image 37 - Predict: 0, True: 1
Image 38 - Predict: 3, True: 9
Image 39 - Predict: 5, True: 5
Image 40 - Predict: 7, True: 4
Image 41 - Predict: 5, True: 6
Image 42 - Predict: 5, True: 5
Image 43 - Predict: 5, True: 6
Image 44 - Predict: 0, True: 0
Image 45 - Predict: 5, True: 9
Image 46 - Predict: 5, True: 3
Image 47 - Predict: 5, True: 9
Image 48 - Predict: 5, True: 7
Image 49 - Predict: 5, True: 6
Image 50 - Predict: 9, True: 9
Image 51 - Predict: 0, True: 8
Image 52 - Predict: 5, True: 0
Image 53 - Predict: 5, True: 3
Image 54 - Predict: 0, True: 8
Image 55 - Predict: 3, True: 8
Image 56 - Predict: 5, True: 7
Image 57 - Predict: 5, True: 7
Image 58 - Predict: 3, True: 4
Image 59 - Predict: 3, True: 6
Image 60 - Predict: 5, True: 7
Image 61 - Predict: 5, True: 3
Image 62 - Predict: 5, True: 6
Image 63 - Predict: 9, True: 3
Image 64 - Predict: 3, True: 6
Image 65 - Predict: 5, True: 2
Image 66 - Predict: 7, True: 1
Image 67 - Predict: 3, True: 2
Image 68 - Predict: 5, True: 3
Image 69 - Predict: 9, True: 7
Image 70 - Predict: 3, True: 2
Image 71 - Predict: 7, True: 6
Image 72 - Predict: 3, True: 8
Image 73 - Predict: 8, True: 8
Image 74 - Predict: 9, True: 0
Image 75 - Predict: 5, True: 2
Image 76 - Predict: 7, True: 9
Image 77 - Predict: 3, True: 3
Image 78 - Predict: 5, True: 3
Image 79 - Predict: 3, True: 8
Image 80 - Predict: 9, True: 8
Image 81 - Predict: 8, True: 1
Image 82 - Predict: 1, True: 1
Image 83 - Predict: 3, True: 7
Image 84 - Predict: 3, True: 2
Image 85 - Predict: 9, True: 5
Image 86 - Predict: 8, True: 2
Image 87 - Predict: 9, True: 7
Image 88 - Predict: 3, True: 8
Image 89 - Predict: 9, True: 9
Image 90 - Predict: 0, True: 0
Image 91 - Predict: 5, True: 3
Image 92 - Predict: 8, True: 8
Image 93 - Predict: 3, True: 6
Image 94 - Predict: 3, True: 4
Image 95 - Predict: 3, True: 6
Image 96 - Predict: 3, True: 6
Image 97 - Predict: 3, True: 0
Image 98 - Predict: 3, True: 0
Image 99 - Predict: 3, True: 7
Image 100 - Predict: 3, True: 4
Image 101 - Predict: 3, True: 5
Image 102 - Predict: 5, True: 6
Image 103 - Predict: 3, True: 3
Image 104 - Predict: 0, True: 1
Image 105 - Predict: 9, True: 1
Image 106 - Predict: 5, True: 3
Image 107 - Predict: 3, True: 6
Image 108 - Predict: 0, True: 8
Image 109 - Predict: 7, True: 7
Image 110 - Predict: 3, True: 4
Image 111 - Predict: 0, True: 0
Image 112 - Predict: 3, True: 6
Image 113 - Predict: 3, True: 2
Image 114 - Predict: 3, True: 1
Image 115 - Predict: 3, True: 3
Image 116 - Predict: 8, True: 0
Image 117 - Predict: 3, True: 4
Image 118 - Predict: 5, True: 2
Image 119 - Predict: 7, True: 7
Image 120 - Predict: 8, True: 8
Image 121 - Predict: 0, True: 3
Image 122 - Predict: 9, True: 1
Image 123 - Predict: 9, True: 2
Image 124 - Predict: 9, True: 8
Image 125 - Predict: 8, True: 0
Image 126 - Predict: 8, True: 8
Image 127 - Predict: 3, True: 3
Image 128 - Predict: 3, True: 5
Image 129 - Predict: 8, True: 2
Image 130 - Predict: 3, True: 4
Image 131 - Predict: 8, True: 1
Image 132 - Predict: 8, True: 8
Image 133 - Predict: 8, True: 9
Image 134 - Predict: 8, True: 1
Image 135 - Predict: 3, True: 2
Image 136 - Predict: 0, True: 9
Image 137 - Predict: 3, True: 7
Image 138 - Predict: 3, True: 2
Image 139 - Predict: 8, True: 9
Image 140 - Predict: 8, True: 6
Image 141 - Predict: 8, True: 5
Image 142 - Predict: 3, True: 6
Image 143 - Predict: 0, True: 3
Image 144 - Predict: 0, True: 8
Image 145 - Predict: 3, True: 7
Image 146 - Predict: 7, True: 6
Image 147 - Predict: 7, True: 2
Image 148 - Predict: 1, True: 5
Image 149 - Predict: 8, True: 2
Image 150 - Predict: 8, True: 8
Image 151 - Predict: 8, True: 9
Image 152 - Predict: 8, True: 6
Image 153 - Predict: 8, True: 0
Image 154 - Predict: 8, True: 0
Image 155 - Predict: 5, True: 5
Image 156 - Predict: 6, True: 2
Image 157 - Predict: 8, True: 9
Image 158 - Predict: 6, True: 5
Image 159 - Predict: 8, True: 4
Image 160 - Predict: 6, True: 2
Image 161 - Predict: 1, True: 1
Image 162 - Predict: 6, True: 6
Image 163 - Predict: 2, True: 6
Image 164 - Predict: 8, True: 8
Image 165 - Predict: 8, True: 4
Image 166 - Predict: 8, True: 8
Image 167 - Predict: 8, True: 4
Image 168 - Predict: 6, True: 5
Image 169 - Predict: 9, True: 0
Image 170 - Predict: 8, True: 9
Image 171 - Predict: 6, True: 9
Image 172 - Predict: 8, True: 9
Image 173 - Predict: 0, True: 8
Image 174 - Predict: 8, True: 9
Image 175 - Predict: 9, True: 9
Image 176 - Predict: 5, True: 3
Image 177 - Predict: 6, True: 7
Image 178 - Predict: 8, True: 5
Image 179 - Predict: 8, True: 0
Image 180 - Predict: 9, True: 0
Image 181 - Predict: 6, True: 5
Image 182 - Predict: 8, True: 2
Image 183 - Predict: 8, True: 2
Image 184 - Predict: 6, True: 3
Image 185 - Predict: 8, True: 8
Image 186 - Predict: 0, True: 6
Image 187 - Predict: 6, True: 3
Image 188 - Predict: 6, True: 4
Image 189 - Predict: 1, True: 0
Image 190 - Predict: 8, True: 5
Image 191 - Predict: 8, True: 8
Image 192 - Predict: 0, True: 0
Image 193 - Predict: 0, True: 1
Image 194 - Predict: 6, True: 7
Image 195 - Predict: 8, True: 2
Image 196 - Predict: 8, True: 8
Image 197 - Predict: 8, True: 8
Image 198 - Predict: 5, True: 7
Image 199 - Predict: 8, True: 8
Image 200 - Predict: 6, True: 5
Image 201 - Predict: 0, True: 1
Image 202 - Predict: 8, True: 8
Image 203 - Predict: 7, True: 7
Image 204 - Predict: 8, True: 1
Image 205 - Predict: 8, True: 3
Image 206 - Predict: 0, True: 0
Image 207 - Predict: 8, True: 5
Image 208 - Predict: 8, True: 7
Image 209 - Predict: 8, True: 9
Image 210 - Predict: 6, True: 7
Image 211 - Predict: 0, True: 4
Image 212 - Predict: 8, True: 5
Image 213 - Predict: 8, True: 9
Image 214 - Predict: 8, True: 8
Image 215 - Predict: 8, True: 0
Image 216 - Predict: 0, True: 7
Image 217 - Predict: 9, True: 9
Image 218 - Predict: 8, True: 8
Image 219 - Predict: 2, True: 2
Image 220 - Predict: 0, True: 7
Image 221 - Predict: 2, True: 6
Image 222 - Predict: 8, True: 9
Image 223 - Predict: 0, True: 4
Image 224 - Predict: 9, True: 3
Image 225 - Predict: 8, True: 9
Image 226 - Predict: 6, True: 6
Image 227 - Predict: 8, True: 4
Image 228 - Predict: 8, True: 7
Image 229 - Predict: 3, True: 6
Image 230 - Predict: 8, True: 5
Image 231 - Predict: 8, True: 1
Image 232 - Predict: 5, True: 5
Image 233 - Predict: 1, True: 8
Image 234 - Predict: 8, True: 8
Image 235 - Predict: 0, True: 0
Image 236 - Predict: 8, True: 4
Image 237 - Predict: 9, True: 0
Image 238 - Predict: 6, True: 5
Image 239 - Predict: 5, True: 5
Image 240 - Predict: 1, True: 1
Image 241 - Predict: 8, True: 1
Image 242 - Predict: 8, True: 8
Image 243 - Predict: 8, True: 9
Image 244 - Predict: 0, True: 0
Image 245 - Predict: 1, True: 3
Image 246 - Predict: 2, True: 1
Image 247 - Predict: 8, True: 9
Image 248 - Predict: 1, True: 2
Image 249 - Predict: 0, True: 2
Image 250 - Predict: 5, True: 5
Image 251 - Predict: 8, True: 3
Image 252 - Predict: 8, True: 9
Image 253 - Predict: 8, True: 9
Image 254 - Predict: 1, True: 4
Image 255 - Predict: 5, True: 0
Image 256 - Predict: 8, True: 3
Image 257 - Predict: 0, True: 0
Image 258 - Predict: 8, True: 0
Image 259 - Predict: 8, True: 9
Image 260 - Predict: 8, True: 8
Image 261 - Predict: 0, True: 1
Image 262 - Predict: 5, True: 5
Image 263 - Predict: 8, True: 7
Image 264 - Predict: 0, True: 0
Image 265 - Predict: 9, True: 8
Image 266 - Predict: 8, True: 2
Image 267 - Predict: 8, True: 4
Image 268 - Predict: 9, True: 7
Image 269 - Predict: 8, True: 0
Image 270 - Predict: 2, True: 2
Image 271 - Predict: 2, True: 3
Image 272 - Predict: 8, True: 6
Image 273 - Predict: 8, True: 3
